SKU,SM
SMPH19079451,RA THERMOSEAL 50GM
SMPH19079453,ZYTEE LOTION 10ML
SMPH19079454,ZYTEE GEL 10ML
SMPH19082149,MESBRO INJ
SMPH19082225,SODIUM BICARBONATE 25ML [/GEN]
SMPH19082271,ANTISNAKE VENUM
SMPH19082326,SODIUM BICARBONATE INJ [/GEN]
SMPH19082494,INTAFRESH MOUTH WASH 150ML
SMPH19082517,METROGYL DG GEL 20GM
SMPH19082718,RHEX ID INJ [APPSAMY OCULAR DEVICES]
SMPH19082787,AVENT MANUAL BREAST PUMP [PHILIPS]
SMPH19082790,BABY HAMPER 3'S [SV APPAREL]
SMPH19082791,BABY HAMPER 4'S [SV APPAREL]
SMPH19082792,BABY MATTRESS SET [STAR BORN BABYCARE LLP]
SMPH19082795,BREAST PUMP [MEDELA]
SMPH19082796,BREAST PUMP [CHICCO]
SMPH19082808,CONTACT NIPPLE SHIELD [PIGEON]
SMPH19082817,DOLOGEL CT GEL (15 GM)
SMPH19082819,ECO HARMONY BREAST PUMP [MEDELA]
SMPH19082824,FEEDING BOTTLE 125ML [DIMPU]
SMPH19082825,FEEDING BOTTLE 150ML [CHICCO]
SMPH19082826,FEEDING BOTTLE 200ML [PIGEON]
SMPH19082827,FEEDING BOTTLE 240ML [PIGEON]
SMPH19082852,METHYLENE BLUE [VULCAN LABS]
SMPH19082855,MINI ELECTRIC BREAST PUMP [MEDELA]
SMPH19082863,NATURAL FEELING FEEDING BOTTLE 250ML
SMPH19082871,NIFTY FEEDING CUP
SMPH19082872,NIPPLE PULLER [PIGEON]
SMPH19082873,NIPPLE SHIELD [FLORITE]
SMPH19082874,NIPPLE SHIELD 2'S [PIGEON]
SMPH19082875,NIPPLE SHIELD L [MEDELA]
SMPH19082876,NIPPLE SHIELD M [MEDELA]
SMPH19082880,NOSE CLEANSER [PIEGON]
SMPH19082883,ONE MUM PUMPSET 72H [ARDO MEDICAL]
SMPH19082925,TULIPS NIPPLE SHIELD M [ARDO MEDICAL]
SMPH19082935,GADOIMAGE 10ML [ARCO LIFESCIENCES]
SMPH19082945,BACTORUB 500ML
SMPH19082958,ALOBACT 75GM SOAP
SMPH19083112,LIPIODOL ULTRA FLUID 10ML [GUERBET]
SMPH19083121,BACTOPREP 500ML
SMPH19083216,CONTRAPAQUE 350MG 100ML [J B CHEMICALS]
SMPH19083228,CONTRAPAQUE 350MG 50ML [J B CHEMICALS]
SMPH19083229,HEXOIMAGE 350MG 50ML [ARCO LIFESCIENCES]
SMPH19083230,HEXOIMAGE 350MG 90ML [ARCO LIFESCIENCES]
SMPH19083249,BACILLOCID EXTRA
SMPH19083257,BACTOSCRUB 500ML
SMPH19083267,AVENT FEEDING BOTTLE 125ML/40 DEVICE
SMPH19083335,FEEDING BOTTLE SMALL
SMPH19083336,FEEDING BOTTLE (B)
SMPH19083337,BREAST RELIEVER [GENIUS]
SMPH19083346,HONEY NIPPLE (SOOTHER)
SMPH19083349,PREGAKEM PREGNANCY KIT
SMPH19083700,AQUABICARB INJ 25ML
SMPH19083715,CLORAL LOZENGES
SMPH19083736,MUCOBENZ MOUTH WASH 500ML
SMPH19083752,SEVANIX 800MG TAB
SMPH19083768,MUCOBENZ MOUTH WASH 200ML
SMPH19083771,HIMALAYA BABY WIPES 24'S
SMPH19083813,SODIUM BICORBONATE INJ [GOPISH PHARMA]
SMPH19083890,VISIPAQUE 320MG 100ML INJ [GE HEALTHCARE]
SMPH19019534,ULTRACET TAB
SMPH19019535,ZERODOL-SP TAB
SMPH19019536,CHYMORAL FORTE TAB
SMPH19019538,ZERODOL-P TAB
SMPH19019539,DOLO 650MG TAB
SMPH19019541,DOLONEX DT 20MG TAB
SMPH19019542,VOVERAN SR 100MG TAB
SMPH19019544,GEMCAL CAP
SMPH19019546,DYNAPAR AQ 1ML INJ
SMPH19019549,HCQS 200MG TAB
SMPH19019550,NISE TAB 100 MG
SMPH19019552,CALPOL TAB 500 MG
SMPH19019553,CALPOL SUSP 250 MG
SMPH19019554,SIGNOFLAM TAB
SMPH19019556,CALPOL TAB 650 MG
SMPH19019557,VOLINI SPRAY 40GM
SMPH19019558,KETOROL DT TAB
SMPH19019559,SHELCAL-CT TAB
SMPH19019560,PLACENTREX INJ
SMPH19019564,P 250 SUSP 60ML 
SMPH19019565,HIFENAC P TAB
SMPH19019566,CALDIKIND PLUS CAP
SMPH19019568,DOLONEX 2ML INJ
SMPH19019569,LYSER D TAB
SMPH19019570,ENZOFLAM TAB
SMPH19019571,IBUGESIC PLUS 100ML SYP
SMPH19019573,VOLINI GEL 30GM
SMPH19019575,FLEXON TAB
SMPH19019578,FEBUTAZ 40MG TAB
SMPH19019581,IBUGESIC PLUS 60ML SYP
SMPH19019583,TERIFRAC 3ML CATRIDGE
SMPH19019587,VOVERAN GE 50MG TAB
SMPH19019591,NUCOXIA MR TAB
SMPH19019592,VOLINI GEL 15GM
SMPH19019593,ETOSHINE MR TAB
SMPH19019595,VOLINI SPRAY 60GM
SMPH19019598,LIOFEN 10MG TAB
SMPH19019599,MEFTAGESIC DS 60ML SYP
SMPH19019600,ZERODOL MR TAB
SMPH19019601,FEBUGET 40MG TAB
SMPH19019604,BIO D3 STRONG CAP
SMPH19019605,EMANZEN D TAB
SMPH19019606,LYSOFLAM TAB
SMPH19019613,ETOSHINE 90MG TAB
SMPH19019615,INDOCAP SR CAP 
SMPH19019620,MEFTAL FORTE TAB
SMPH19019624,COMBIFLAM 60ML SYP
SMPH19019629,MYOSPAZ FORTE TAB
SMPH19019636,MOBIZOX TAB
SMPH19019638,CALPOL SUSP 120 MG
SMPH19019639,ZYLORIC TAB 100MG
SMPH19019640,MYOSPAZ TAB
SMPH19019642,MEFTAL-P SUSP 60ML
SMPH19019643,ACE PROXYVON TAB
SMPH19019648,BON K2 TAB
SMPH19019653,VOLINI GEL 50GM
SMPH19019654,ROCALTROL 0.25MCG CAP
SMPH19019657,ENZOMAC PLUS TAB
SMPH19019662,P 120 MG 60ML SUSP
SMPH19019669,ACECLO PLUS TAB
SMPH19019676,BRUFEN TAB 400 MG
SMPH19019681,GEMCAL-DS TAB
SMPH19019682,HOSPIMOL 100ML INJ
SMPH19019689,MYORIL 4MG CAP
SMPH19019691,HCQS 300MG TAB
SMPH19019692,SHELCAL OS TAB
SMPH19019698,CALPOL DROPS
SMPH19019701,FEBUSTAT 40MG TAB
SMPH19019704,FLEXON SUSP 100 ML
SMPH19019707,ENZOMAC TAB
SMPH19019708,FLEXURA D TAB
SMPH19019711,TENDOCARE TAB
SMPH19019722,ACENAC P TAB
SMPH19019725,NEORELAX MR TAB
SMPH19019733,ZERODOL TAB
SMPH19019736,DOLO 250 MG SUSP
SMPH19019738,FEVASTIN 2ML INJ
SMPH19019740,DART TAB
SMPH19019741,HIFENAC-D TAB
SMPH19019746,HCQS 400MG TAB
SMPH19019756,KABIMOL 1000MG/100ML INJ
SMPH19019758,CHYMORAL PLUS TAB
SMPH19019762,MYORIL 8MG CAP
SMPH19019768,ETOVA MR 400/4 TAB
SMPH19019772,VOVERAN SR 75MG TAB
SMPH19019773,CROCIN ADVANCE TAB
SMPH19019775,DURAPAIN TAB
SMPH19019777,ACENAC MR TAB
SMPH19019779,NAPROSYN TAB 500 MG
SMPH19019788,IBUGESIC PLUS TAB
SMPH19019789,TENDOCARE FORT TAB
SMPH19019793,ZYLORIC 300MG TAB
SMPH19019794,CHYMORAL AP TAB
SMPH19019800,PARAGLASS 1GM 100ML [ABBOTT]
SMPH19019801,DYNAPAR QPS 30ML
SMPH19019804,DISPERZYME TAB
SMPH19019807,VOLITRA PLUS GEL 30GM
SMPH19019808,T-HEAL CAP
SMPH19019809,LEFRA 20MG TAB
SMPH19019821,ZOLDONAT 4MG INJ
SMPH19019831,HIFENAC MR TAB
SMPH19019836,JOINTACE DN TAB
SMPH19019845,JOINTACE C2 TAB
SMPH19019846,BACLOF TAB 10MG
SMPH19019849,VOVERAN EMULGEL 30GM
SMPH19019854,TAMIN INJ 100ML
SMPH19019855,FLEXABENZ GEL
SMPH19019860,IDROFOS 150MG TAB
SMPH19019863,CALCIMAX ISO TAB
SMPH19019880,FEPANIL 100 INFUSION
SMPH19019882,EZACT MR TAB
SMPH19019885,FLEXON MR TAB
SMPH19019888,MYOTOP P TAB
SMPH19019891,NAPROSYN TAB 250MG
SMPH19019896,MEFTAGESIC P 60ML SYP
SMPH19019902,OSTEOFOS TAB 70 MG
SMPH19019913,ENZOHEAL D TAB
SMPH19019919,OSTIUM K2 TAB
SMPH19019920,BECOTROL CAP
SMPH19019929,LIOFEN XL 20MG CAP
SMPH19019930,HIFENAC-SR TAB
SMPH19019931,MEFTAL P 100MG TAB DT
SMPH19019938,EUCALMIN CAP
SMPH19019942,SETOLAC ER 300 MG TAB
SMPH19019946,POWERGESIC PLUS 30GM GEL
SMPH19019949,KETOROL INJ
SMPH19019952,IMOL PLUS TAB
SMPH19019953,LUBRIJOINT OD TAB
SMPH19019954,TRAMAZAC 100MG/2ML INJ
SMPH19019956,HIFENAC TH TAB
SMPH19019967,TENDOFIRM CAP
SMPH19019968,XGEVA 120MG/1.7ML INJ
SMPH19019973,LANOL ER 650MG TAB
SMPH19019974,LEFNO 10MG TAB
SMPH19019982,RETOZ TAB 90 MG
SMPH19019996,T-98 15ML DROPS
SMPH19020001,GEMCAL NASAL SPRAY
SMPH19020004,MACVESTIN 250MG TAB
SMPH19020010,P 125 DROP PAED 15ML
SMPH19020013,ETOSHINE 60MG TAB
SMPH19020016,VOVERAN EMULGEL 50GM
SMPH19020023,ETRIK MR TAB
SMPH19020029,P 500 SUSP 60ML
SMPH19020035,FOSAVANCE 70/5600 IU TAB
SMPH19020043,BACLOF TAB OD 20MG
SMPH19020044,BUVALOR 10MCG PATCH
SMPH19020045,ZURIG 80MG TAB
SMPH19020062,MYOTOP TAB 150 MG
SMPH19020069,ETOGESIC 600MG ER TAB
SMPH19020071,DOLOPAR 250MG SUSP 60ML
SMPH19020077,MEFKIND SUSP DS 60 ML
SMPH19020086,TAPAL ER 50MG TAB
SMPH19020087,DOLO 500MG TAB
SMPH19020092,LUBRIJOINT 500MG TAB
SMPH19020096,TIZAN 2MG TAB
SMPH19020104,VOVERAN TPM GEL GEL
SMPH19020105,DYNAPAR TAB
SMPH19020106,LUPIRTIN-P TAB
SMPH19020109,FOXSTAT 40MG TAB
SMPH19020111,MOOV OINT 50GM
SMPH19020126,BRUGEL 30GM
SMPH19020128,P 500 TAB
SMPH19020129,SYNERTAB TAB
SMPH19020139,NEOMOL 100ML INJ
SMPH19020140,ETRIK 90MG TAB
SMPH19020143,PROXYM MR TAB
SMPH19020150,ETOSHINE 120MG TAB
SMPH19020154,PYRIGESIC 1GM TAB
SMPH19020161,LEFRA 10MG TAB
SMPH19020163,ENZOHEAL TAB
SMPH19020172,BIO D3 PLUS TABS
SMPH19020174,ARTACIL 25MG 2.5ML INJ
SMPH19020185,DOLONEX RAPID 20MG TAB
SMPH19020200,ENBREL 50MG PFS INJ
SMPH19020209,VOVERAN D 50MG TAB
SMPH19020212,RACECLO CAP
SMPH19020223,ZERODOL-S TAB
SMPH19020224,CALINTAMAX CAP
SMPH19020229,CALCIMAX K2 TAB
SMPH19020233,DICLORAN A TAB
SMPH19020235,SHELCAL ISO CAP
SMPH19020249,GOUTNIL TAB
SMPH19020254,TRAMAZAC 50MG CAP
SMPH19020255,CARTIGEN DN TAB
SMPH19020271,DYNAPAR QPS PLUS 30ML
SMPH19020283,ETOVA ER 400MG TAB
SMPH19020296,LARETOL 0.25MCG CAP
SMPH19020298,FEBRINIL 3ML
SMPH19020305,TYDOL 50MG TAB
SMPH19020313,MYOSPAS D TAB
SMPH19020325,DOLOPAR 650MG TAB
SMPH19020327,BOTOX INJ 50 IU
SMPH19020332,INTACEPT 25MG/0.5ML PFS INJ
SMPH19020371,THIOSPAS A 4MG TAB
SMPH19020393,MEFTAL 500MG TAB
SMPH19020394,ETOVA-400MG TAB
SMPH19020404,CROCIN SUSP 120 MG 60ML
SMPH19020409,ORCERIN CAP 50 MG
SMPH19020414,TOLPA D 50MG TAB
SMPH19020416,FEBUSTAT 80MG TAB
SMPH19020417,NICIP 100MG TAB
SMPH19020440,ACECLO MR TAB
SMPH19020449,HIFENAC 100MG TAB
SMPH19020450,MEGA FLEXON TAB
SMPH19020452,KETOPLAST PLASTER
SMPH19020457,OXCQ TAB 200MG
SMPH19020458,CALCINASE NASAL SPRAY
SMPH19020479,KETOTRAM TAB
SMPH19020484,CALINTA FRAC TAB
SMPH19020485,ALPHADOL 0.25MCG CAP
SMPH19020490,PARACIP TAB 500 MG
SMPH19020502,ARTACIL 50MG 5ML INJ
SMPH19020514,OSTOSPRAY
SMPH19020519,ADTROL PLUS CAP
SMPH19020526,INDOCAP CAP
SMPH19020533,NEOVEC 4MG INJ
SMPH19020535,CROCIN DROPS 15ML
SMPH19020549,ZYCEL 200MG CAP
SMPH19020570,CROCIN PAIN RELIEF TAB
SMPH19020573,CROCIN 650MG TAB
SMPH19020586,ESMERON 50MG INJ
SMPH19020604,FEBUGET 80MG TAB
SMPH19020613,SUPRIDOL 2ML
SMPH19020618,MICROCID 25MG CAP
SMPH19020629,GEMFOS TAB
SMPH19020630,VOLTAFLAM 50MG TAB
SMPH19020632,BACLOF TAB OD 30MG
SMPH19020636,ATRAPURE 25MG INJ
SMPH19020645,CHYMOCIP TAB
SMPH19020647,OMNI GEL 10GM
SMPH19020654,BUVALOR 20MCG PATCH
SMPH19020660,KETOROL TAB
SMPH19020678,ROKFOS INJ
SMPH19020679,CALCIMAX K2 PLUS TAB
SMPH19020693,MEFTAL 250MG TAB
SMPH19020722,VOVERAN MAX GEL 30GM
SMPH19020734,RISOFOS TAB 35 MG
SMPH19020743,NUPATCH PATCH 200MG/50CM
SMPH19020746,LIOFEN 5MG TAB
SMPH19020749,CALINTA TAB KIT
SMPH19020785,TOLIFAST-D TAB
SMPH19020815,ANEMOL I.V 100ML
SMPH19020825,PARACIP TAB 650 MG
SMPH19020846,CALCISPRAY NASAL SPRAY
SMPH19020860,LUPIRTIN 400MG TAB SR
SMPH19020871,HIFENAC MAX TAB
SMPH19020879,SUPRACAL ISO TAB
SMPH19020916,CONTRAMAL DT 50MG TAB
SMPH19020917,ZURIG 40MG TAB
SMPH19020918,TRABEST TAB
SMPH19020927,MICROCID-SR 75MG CAP
SMPH19020935,ACECLO SERA TAB
SMPH19020953,TAPFREE ER 50 MG TAB
SMPH19020970,MOL PLUS 100ML INJ
SMPH19020975,FEPANIL DROPS
SMPH19020977,ZYCOLCHIN 0.5MG TAB
SMPH19020985,BUVALOR 5MCG PATCH
SMPH19020988,DISPRIN TAB
SMPH19020999,WAKFREE TAB
SMPH19021025,GUDRIL TAB
SMPH19021034,KONDRO OD TAB
SMPH19021053,TOLIFAST 150MG TAB
SMPH19021056,MYOLAXIN D GEL 15GM
SMPH19021062,MYOLAXIN OINT 15GM
SMPH19021075,DYNATROY AQ 1ML INJ
SMPH19021082,LUPIRTIN 100MG CAP
SMPH19021092,BRUFEN TAB 200 MG
SMPH19021097,NEFOSAR TAB 30 MG
SMPH19021101,LORSAID SD 8MG TAB
SMPH19021120,MYORIL 2ML INJ
SMPH19021146,SUPRIDOL 1ML
SMPH19021153,ZOLEPHOS 100ML INJ
SMPH19021172,BACLOF LIQUID 100ML
SMPH19021207,MYOSPAS TH4 CAP
SMPH19021220,DICLOPLAST PATCH
SMPH19021244,IBUGESIC SYP 100ML
SMPH19021246,CAL 123 FEM TAB
SMPH19021247,JONAC 100MG SUPPOSITARY
SMPH19021266,LOFECAM 8MG TAB
SMPH19021291,SYNAPTOL 150MG TAB
SMPH19021292,ROCUNIUM 50MG/5ML INJ
SMPH19021309,BUTODOL 2 MG INJ
SMPH19021321,THICHOREN AC 4MG TAB
SMPH19021328,LIOFEN 25MG TAB
SMPH19021357,BIO D3 DS CAP
SMPH19021378,BREAKFIX TAB
SMPH19021379,JOINTACE TAB 750 MG
SMPH19021381,FLEXILOR 8MG INJ
SMPH19021412,TRAMAZAC 50MG/1ML INJ
SMPH19021416,DOLOPAR 125MG SUSP 60ML
SMPH19021439,BABYGESIC DROPS
SMPH19021450,OSTEOFOS TAB 35 MG
SMPH19021472,NEOVEC 10 MG INJ
SMPH19021522,CALPOL T TAB
SMPH19021525,OXALGIN NANO GEL 50GM
SMPH19021537,VOVERAN PLUS TAB
SMPH19021566,MEFKIND FORTE
SMPH19021629,ACENEXT P TAB
SMPH19021641,JUSTIN 100MG SUPPOSITORY
SMPH19021646,LOYMAX GOLD CAP
SMPH19021751,BUTRUM 2 MG INJ
SMPH19021797,THIOX OD 8MG TAB
SMPH19021814,ULTRAMOL TAB
SMPH19021832,THICHOREN AC 8MG TAB
SMPH19021851,CLOTAN CAP 200 MG
SMPH19021892,ZYCEL 100MG CAP
SMPH19021893,COEVITENZ D TAB
SMPH19021915,KABIMOL 500MG/50ML INJ
SMPH19021928,SUCOL INJ
SMPH19021941,ZY-Q 400MG TAB
SMPH19021952,NACPHIN 10MG INJ
SMPH19021968,LORSAID 8MG/2ML INJ
SMPH19021991,FORTWIN 30 MG INJ
SMPH19022029,FLAVOJOINT 500MG TAB
SMPH19022058,DOLOPAR DROP 15 ML
SMPH19022087,VOLITRA PLUS SPRAY
SMPH19022090,TOLMOVE 150MG TAB
SMPH19022097,NEOMOL SUPP 250 MG
SMPH19022123,ROXINAZ-500 TAB
SMPH19022188,BUTRUM 1 MG INJ
SMPH19022191,FLAVOJOINT 250MG TAB
SMPH19022210,EPRISAN SR 150MG
SMPH19022223,DICLORAN 3ML INJ
SMPH19022228,DOLONEX CAP 20 MG
SMPH19022232,FASTUM GEL 30GM
SMPH19022246,THIOSPAS 8MG CAP
SMPH19022401,OXUBA CAP
SMPH19022414,MEFAST-P SUSP 60ML
SMPH19022448,LORSAID P 8MG TAB
SMPH19022463,CISATRA 10MG/5ML INJ
SMPH19022482,NICETAMOL 250MG 60ML SYP
SMPH19022486,TYFY-300 TAB DT
SMPH19022491,PA 12 TAB 1000 MG
SMPH19022528,LOYMAX CAP
SMPH19022550,THIOACT 4MG TAB
SMPH19022602,MEFAST 100MG SUSP 60ML
SMPH19022604,VOLINI SPRAY 50ML
SMPH19022669,THIOACT D 4MG TAB
SMPH19022680,ZYCLASTIN 4MG INJ
SMPH19022721,FEBUGOOD 80MG TAB
SMPH19022729,TAPFREE ER 100 MG TAB
SMPH19022745,EMANZEN DP TAB
SMPH19022912,CISBLOK 20 INJ
SMPH19022940,KETOROL GEL 30GM
SMPH19022958,NEXPAR 250MG 120ML SUSP
SMPH19022999,BABYGESIC 250 SYP 60ML SYP
SMPH19023068,ENZOHEAL FORTE TAB
SMPH19023081,JUSTIN 75MG INJ 3ML
SMPH19023120,BACFEN TAB 5 MG
SMPH19023121,NEOMOL SUPP 170 MG
SMPH19023153,CROCIN SUSP 240 MG 60 ML
SMPH19023166,KABIVEC 10MG INJ
SMPH19023171,TOVOK TAB
SMPH19023251,LORSAID P 4MG TAB
SMPH19023262,ZORRENT 4MG INJ
SMPH19023304,ARIUM 25MG 2.5ML
SMPH19023422,SERAX 5MG TAB
SMPH19023454,NEOCURON 4MG/2ML INJ
SMPH19023581,CISBLOK 10 INJ
SMPH19023799,P 125 SUSP 125MG 60ML
SMPH19023836,NEOMOL SUPP 80 MG
SMPH19023837,BUPRIGESIC INJ 2ML
SMPH19023845,UNICALCIN 100IU INJ
SMPH19023864,LORGEM P TAB
SMPH19023875,SUPRIDOL SUPP 100MG
SMPH19023959,REACTIN TAB 50 MG
SMPH19023978,DICLORAN 50MG TAB
SMPH19023998,BABYGESIC 125MG 60ML SYP
SMPH19024034,ETOVA-300MG TAB
SMPH19024053,BONIMET INJ 6 MG
SMPH19024253,ASTHAID 100MG CAP
SMPH19024311,BUPRIGESIC 0.3 MG INJ
SMPH19024354,JUSTIN 12.5MG SUPPOSITORY
SMPH19024406,RUPATCH 10MCG PATCH
SMPH19024467,FEBOXA 40MG TAB
SMPH19024490,NEFOSAR 20MG 1ML INJ
SMPH19024501,SAMVEC 4MG INJ
SMPH19024524,PCM 2ML INJ
SMPH19024714,XTRACAL CT TAB
SMPH19024757,TAZOWIN INJ
SMPH19024922,BANDRONE 50MG TAB
SMPH19024927,ENZO XT TAB
SMPH19025180,UGESIC TAB MD 40MG
SMPH19025281,JUSTIN 25MG SUPPOSITORY
SMPH19025327,KINETO FORTE 15MG TAB
SMPH19025874,IBUGESIC SYP 60ML
SMPH19026519,SUPPOL BABY SUPP 80MG
SMPH19026535,TRD-CONJECT 1ML INJ
SMPH19026578,ARIUM 50MG 5ML
SMPH19026776,KABIVEC 4MG INJ
SMPH19027060,GMM TAB
SMPH19027361,DUROGESIC 50MCG TRANSDERMAL PATCH
SMPH19027542,RUPATCH TDP 5MCG
SMPH19027943,HOSPIMOL 50ML INJ
SMPH19027996,NOVACERIN GM TAB
SMPH19028106,BUPRIGESIC 10MG PATCH
SMPH19028209,ALTO SP TAB
SMPH19028230,RUMORF 10 MG TAB
SMPH19028386,ALTO- P TAB
SMPH19029152,NIMULID TAB 100 MG
SMPH19029737,ETOLOAD ER 400MG TAB
SMPH19030730,RETOL FP TAB
SMPH19032626,ETOSHIFT 60MG TAB
SMPH19033332,CIROSAFE TAB
SMPH19033366,P 125 TAB 125MG
SMPH19033381,COMBIFLAM TAB
SMPH19033474,DICLOMOL TAB
SMPH19033534,DOLO DROPS 15ML
SMPH19033563,DUROGESIC 25MCG TRANSDERMAL PATCH
SMPH19033884,MEFTAL FORTE TAB
SMPH19034470,ULTRACET TAB
SMPH19082138,LIOFEN XL 10MG TAB
SMPH19082140,OMNIGEL SPRAY
SMPH19082148,COMBISAFE TAB
SMPH19082166,DOLCET TAB
SMPH19082174,THIOBLIS 4MG AB
SMPH19082201,TAPNIL-AQUA INJ
SMPH19082206,ETOPACE MR TAB
SMPH19082208,CALINTACT K2 TAB
SMPH19082209,JUSTIN AQ 75MG INJ 1ML
SMPH19082210,DOLONEX DT 20MG TAB
SMPH19082215,TAPINIL RUTO TAB
SMPH19082216,CHYMORAL FORTE DS TAB
